"Data Source","World Development Indicators",

"Last Updated Date","2016-07-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Germany","DEU","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","1027884","1099101","1164392","1224613","1288372","1347457","1395605","1437257","1485619","1504965","1542784","1555127","1561349","1566691","1577582","1579496","1590106","1596915","1608292","1613502","1614884","1621523","1635812","1638576","1641625","1644534","1634468","1616982","1594863","1567500","1500000","1321900","1300000","1261400","1215700","1190000","1116023","1072211","1030775","989488","","","","","","","","","","","","","","","",
"Germany","DEU","Fertilizer consumption (% of fertilizer production)","AG.CON.FERT.PT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.4420265408601","55.0259186519844","57.5230389528317","52.8730291049702","50.3413295486385","59.3228405129573","55.6782980077184","68.2814892772292","66.0732860083877","59.5773713159245","57.1655384304549","59.7354228041287","","",
"Germany","DEU","Fertilizer consumption (kilograms per hectare of arable land)","AG.CON.FERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220.074039521669","219.698063752431","215.125819465456","208.757056451613","194.419012304062","221.871768965227","159.582718739524","181.414399330264","211.596825932804","191.486989473684","198.921581882711","203.469181542607","","",
"Germany","DEU","Agricultural land (sq. km)","AG.LND.AGRI.K2","","193750","193930","194020","194580","195340","195310","194120","192850","192540","190230","189520","189490","188970","188210","187920","187580","187090","186590","185940","185190","184610","183960","183300","182840","182440","182080","181250","180970","180560","180320","171360","169510","171620","173080","173430","173370","173270","173730","171520","170680","170340","169670","170010","170130","170310","169460","169500","169210","168860","167000","167190","166640","166970","","",
"Germany","DEU","Agricultural land (% of land area)","AG.LND.AGRI.ZS","","55.4950877896486","55.5466445163693","55.5724228797296","55.7328215850829","55.9505055423481","55.9419127545613","55.6010655056856","55.237304156045","55.1485120155816","54.4868673559992","54.283504711712","54.2749119239252","54.1259702689543","53.9082863116891","53.8252226964168","53.7278377681666","53.5874889009824","53.4442757712027","53.258098702489","53.0432790078194","52.8771517772749","52.6909747085613","52.501933377252","52.3701772978547","52.2556067940309","52.1524933405895","51.9147595451551","51.8345601924784","51.7171254260591","51.6483831237648","49.0820038381119","48.5521152579269","49.1578826764436","49.5774970639627","49.6791750214838","49.6634105817984","49.6404526572124","49.776517105037","49.1489483638031","48.9124516406362","48.8220120378332","48.6355558103537","48.7400017201342","48.7799982796686","48.8330083725198","48.5948612066988","48.6133019760805","48.5356968706078","48.4380826711798","47.9100324181656","47.9659169153087","47.8108681930338","47.9055488609629","","",
"Germany","DEU","Arable land (hectares)","AG.LND.ARBL.HA","","12220000","12185000","12165000","12161000","12153000","12155000","12049000","12032000","12001000","11952000","11965000","12004000","11990000","12020000","12041000","12087000","12071000","12086000","12057000","12030000","12004000","11975000","11967000","11952000","11957000","11960000","11945000","11948000","11949000","11971000","11559000","11467000","11676000","11805000","11835000","11835000","11832000","11879000","11822000","11804000","11813000","11791000","11827000","11898000","11904000","11866000","11877000","11932000","11945000","11846000","11875000","11834000","11876000","","",
"Germany","DEU","Arable land (hectares per person)","AG.LND.ARBL.HA.PC","","0.166535763923262","0.164604808508344","0.16282012105492","0.161461345063952","0.159984318824933","0.158680817888585","0.156579477710432","0.155664749156063","0.154037337747059","0.152898921723594","0.15278464801469","0.152550974061607","0.151893924681339","0.152214647777648","0.153050159650853","0.154295003826419","0.154439978580297","0.154766529964342","0.154326933230594","0.153662266126797","0.153096804382242","0.15287227667454","0.153171165340613","0.153508886002891","0.153916709112725","0.153884880419353","0.153455964497394","0.152896004266141","0.151730861324507","0.150705571104433","0.144462406879925","0.142227065739912","0.143870419624398","0.144956280301757","0.144898168542244","0.144479331221473","0.144231523484109","0.144782524253267","0.143994701696559","0.143580871913942","0.143448825241796","0.142941145913742","0.143298213821145","0.144189763326646","0.14434440925268","0.144046021113485","0.144372478222329","0.145317085668526","0.145844487628413","0.144857479976321","0.145175279008243","0.147141795490237","0.144595177517062","","",
"Germany","DEU","Arable land (% of land area)","AG.LND.ARBL.ZS","","35.001288918168","34.9010397273222","34.8437544754103","34.8322974250279","34.8093833242632","34.8151118494544","34.5115000143213","34.4628075501962","34.3740154097328","34.2336665425486","34.2709019562914","34.3826081975195","34.3425085211812","34.4284363990491","34.4885859135566","34.6203419929539","34.5745137914244","34.6174777303583","34.5344141150861","34.457079025005","34.3826081975195","34.2995445822473","34.2766304814825","34.2336665425486","34.2479878555266","34.2565806433134","34.2136167043795","34.2222094921662","34.2250737547618","34.2880875318649","33.1080113424799","32.8444991836852","33.4440879926673","33.8145570164132","33.9014608994557","33.9024320375834","33.8977223893425","34.0352988367429","33.8758668118517","33.8271958733343","33.8578389223273","33.7986584876455","33.9067113901551","34.1141726639333","34.1323546278243","34.0272998394127","34.0637278802306","34.2253965522187","34.2646510427125","33.9845655105144","34.0687399586872","33.9530613415964","34.0735640098697","","",
"Germany","DEU","Land under cereal production (hectares)","AG.LND.CREL.HA","","7138919","7145685","7168885","7285822","7229500","7207233","7286316","7431223","7499085","7470600","7571500","7633527","7662538","7743113","7805553","7816354","7800601","7878846","7723359","7737979","7614540","7583943","7582053","7512692","7403403","7327154","7157693","7138343","7087608","6944862","6559820","6514452","6225212","6235246","6526735","6707515","7024879","7031633","6638210","7015663","7045731","6940982","6839431","6946946","6839000","6702200","6571690","7038419","6918445","6595925","6490900","6517900","6526000","6460700","",
"Germany","DEU","Permanent cropland (% of land area)","AG.LND.CROP.ZS","","1.44358834817976","1.44931687337095","1.42640277260619","1.43213129779738","1.40921719703262","1.38630309626787","1.36338899550311","1.35479620771632","1.3691175206943","1.2574112794661","1.2574112794661","1.2602755420617","1.314696531378","1.314696531378","1.34333915733394","1.36338899550311","1.40062440924584","1.40348867184143","1.43499556039298","1.43213129779738","1.41494572222381","1.40062440924584","1.38343883367227","1.36338899550311","1.34333915733394","1.31756079397359","1.27459685503967","1.26600406725289","1.26600406725289","1.26886832984848","0.710337123707501","0.690287285538338","0.673120989917507","0.664546990919767","0.647378974505872","0.655991291643989","0.653201547056296","0.653257692968884","0.618946644506848","0.618999856712996","0.59615935798223","0.590494754342716","0.590579398526418","0.579178255010465","0.567725656611997","0.567790777701308","0.567872200074569","0.573674095746207","0.573707007831101","0.570903979114669","0.573789304567363","0.573822229873185","0.573822229873185","","",
